Title,Content,rating,sentiment
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
"Sound :The sound signature is Warm to almost V shaped and everything is clear even at max volume and low volume. Great for Indian songs and EDM and Rock.There is practically no passive noise cancellation but the neckband does get loud enough to drown out any noise and there isn't any kind of sound leakage upto 90% volume.Build and Fit:Solid build quality The wires are good and overall light weight coupled with the earpiece shape makes for a very comfortable listening experience for long hours.They fit well for even small ears and stay put no matter what you are doing. They are comfortable enough that you can sleep in them.They are low profile enough to fit in ears comfortable even while wearing a helmet.The raised power button is convenient when you want to activate assistant, and the double tap to activate assistant instead of long press is great so that you don't accidentally turn off the device.Connectivity :Generally low latency and Bluetooth 5.0 makes for a good experience but you can feel the lag while playing FPS if you look for it. The range is a huge improvement over bluetooth 4.0.Dual pairing works fine. When Switched ON the auto connect connects to both of the last paired devices automatically.But lets say you are connected to a phone and a laptop and you go out of laptop's range while you have the phone in hand with earphone then it won't reconnect to laptop automatically. Instead you will have to manually connect it on laptop from paired devices.Playback : There is no lag when switching devices when you receive calls on a different device than what you are listening to and it automatically paused the media playing on any device connected.If media is paused for over 5 seconds playing media in any of the two connected device begins instantaneously. But there is a 3 to 5 second interval depending on your device when switching media during continuous play back and it switches only when you pause the media thats already playing.Battery and charging : The battery last quite long. I don't have exact numbers but it lasted 4 hours in last 30% of charge with 50% volume.Type C charging is convenient and it takes about 100 minutes to fully charge on a 18W adapter with included cable.Mic quality : Clear but very low volume. defenitely not recomended if calling is your main purpose. There is no Enviroinmental Noise Canellation either(ENC).Things to kmow before buying:1. Not recommended for those who prefer neutral or balanced sound.2. There is no intimation or notification chime when a device is disconnected from the neckband or when it goes out of range.3. The auto connect does not connect to second paired device automatically if you the second device goes out of range and comes back and you have to manually connect it from second device's ""Paired device list""4. When you play media on second device it doesn't pause the media playing on first device. But calls do pause any media playing from any device.5. The remote controls and charging port are on the right.6. No magnets on earpieces.7. Mediocre mic quality.My personal verdict : Definitely a great buy at INR 1,499.","JBL Tune 215BT : Best neckband for those who want bass but not in ear buds, with mediocre mic.",5.0,Positive
Expected a better product from JBL. The Bass is quite low and has some disturbance also.,Just Ok,4.0,Positive
"Very good for phone calls.The microphone is excellent. Much better than most Bluetooth earphones.The audio is clear, but the shape of the earbuds fails to direct the audio reliably across different types of ear sizes.JBL tried replicating the Apple earbud shape. Does not fit the ear snugly.Falls off often.",Good multipoint connectivity. Falls off the ear,3.0,Neural
Sound quality is very nice.. But there is an issue with the speaker I guess... An opposite person unable to hear ur voice..there is missing of clarity.. unable to hear your voice..#little bit,#Sound clarity is good.. #Defect in audibility #Speaker issue,3.0,Neural
Overall good product but after 4-5 month Bluetooth not working,Bluetooth not working after 4 month,4.0,Positive
A good quality  headphone in this price range.. love it,A good quality  headphone in this price range,4.0,Positive
Required magnetic touch with both sides of speakers so that while not in uae the will easily fit in the kneck,"Good product only thing was missing i.e,Magnetic touch",4.0,Positive
"Sound quality is very good, bass is quite good too. The built is sturdy, and the colour suits my phone appropriately. Battery life so far (after a week’s usage) is long.The ear phones are fairly big and they are of fixed size not adjustable ear buds. So these may not fit medium or smaller ears. Be aware of it.","Satisfying sound, sturdy feel",4.0,Positive
Not bad. Not good. The build and sound quality is apt for its price range,Good for its price,4.0,Positive
Sound Quality is average buy Bluetooth range is awesome.Very good for calling purpose.,Sound Quality is average buy Bluetooth range is awesome.,4.0,Positive
